time_sec,throttle,altitude,rpm,cht,egt,egt_1,egt_2,egt_3,egt_4,oil_pressure,oil_temp,fuel_flow,battery_voltage,vibration_index,engine_load,injection_timing
1.0,0.9,0,2911.77,113.92,403.58,403.58,403.58,403.58,403.58,49.46,72.39,22.56,13.77,0.0359,0.4765,28.24
2.0,0.9,41.67,3995.3,117.69,450.86,450.86,450.86,450.86,450.86,59.81,74.66,28.65,13.99,0.0418,0.6538,29.81
3.0,0.9,83.33,4550.91,121.3,492.57,492.57,492.57,492.57,492.57,67.23,76.82,30.88,14.01,0.0448,0.7447,30.62
4.0,0.9,125.0,4835.48,124.78,529.36,529.36,529.36,529.36,529.36,72.53,78.87,31.69,14.02,0.0464,0.7913,31.03
5.0,0.9,166.67,4980.9,128.11,561.83,561.83,561.83,561.83,561.83,76.33,80.83,31.98,14.02,0.0472,0.8151,31.24
6.0,0.9,208.33,5054.87,131.31,590.46,590.46,590.46,590.46,590.46,79.05,82.68,32.08,14.02,0.0476,0.8272,31.35
7.0,0.9,250.0,5092.16,134.39,615.72,615.72,615.72,615.72,615.72,80.99,84.44,32.11,14.02,0.0478,0.8333,31.41
8.0,0.9,291.67,5110.61,137.34,638.01,638.01,638.01,638.01,638.01,82.38,86.12,32.11,14.02,0.0479,0.8363,31.43
9.0,0.9,333.33,5119.4,140.17,657.66,657.66,657.66,657.66,657.66,83.37,87.71,32.1,14.02,0.0479,0.8377,31.45
10.0,0.9,375.0,5123.22,142.9,674.99,674.99,674.99,674.99,674.99,84.07,89.23,32.09,14.02,0.0479,0.8383,31.45
11.0,0.9,416.67,5124.49,145.51,690.28,690.28,690.28,690.28,690.28,84.57,90.67,32.08,14.02,0.048,0.8386,31.45
12.0,0.9,458.33,5124.45,148.02,703.76,703.76,703.76,703.76,703.76,84.92,92.03,32.07,14.01,0.048,0.8385,31.45
13.0,0.9,500.0,5123.75,150.43,715.64,715.64,715.64,715.64,715.64,85.17,93.33,32.06,14.01,0.0479,0.8384,31.45
14.0,0.9,541.67,5122.69,152.74,726.12,726.12,726.12,726.12,726.12,85.35,94.57,32.04,14.01,0.0479,0.8383,31.45
15.0,0.9,583.33,5121.46,154.96,735.36,735.36,735.36,735.36,735.36,85.46,95.74,32.03,14.01,0.0479,0.8381,31.45
16.0,0.9,625.0,5120.14,157.09,743.49,743.49,743.49,743.49,743.49,85.55,96.85,32.02,14.01,0.0479,0.8378,31.45
17.0,0.9,666.67,5118.78,159.14,750.67,750.67,750.67,750.67,750.67,85.6,97.91,32.01,14.01,0.0479,0.8376,31.45
18.0,0.9,708.33,5117.38,161.1,756.99,756.99,756.99,756.99,756.99,85.63,98.92,31.99,14.01,0.0479,0.8374,31.44
19.0,0.9,750.0,5115.98,162.98,762.55,762.55,762.55,762.55,762.55,85.65,99.87,31.98,14.01,0.0479,0.8372,31.44
20.0,0.9,791.67,5114.57,164.79,767.45,767.45,767.45,767.45,767.45,85.66,100.78,31.97,14.01,0.0479,0.8369,31.44
21.0,0.9,833.33,5113.16,166.53,771.77,771.77,771.77,771.77,771.77,85.66,101.64,31.96,14.01,0.0479,0.8367,31.44
22.0,0.9,875.0,5111.74,168.2,775.56,775.56,775.56,775.56,775.56,85.66,102.46,31.94,14.01,0.0479,0.8365,31.44
23.0,0.9,916.67,5110.33,169.8,778.9,778.9,778.9,778.9,778.9,85.65,103.24,31.93,14.01,0.0479,0.8362,31.43
24.0,0.9,958.33,5108.91,171.33,781.84,781.84,781.84,781.84,781.84,85.64,103.98,31.92,14.01,0.0479,0.836,31.43
25.0,0.9,1000.0,5107.49,172.81,784.42,784.42,784.42,784.42,784.42,85.63,104.68,31.91,14.01,0.0479,0.8358,31.43
26.0,0.9,1041.67,5106.08,174.22,786.69,786.69,786.69,786.69,786.69,85.62,105.34,31.89,14.01,0.0479,0.8355,31.43
27.0,0.9,1083.33,5104.66,175.57,788.67,788.67,788.67,788.67,788.67,85.6,105.97,31.88,14.01,0.0478,0.8353,31.42
28.0,0.9,1125.0,5103.24,176.88,790.42,790.42,790.42,790.42,790.42,85.59,106.57,31.87,14.01,0.0478,0.8351,31.42
29.0,0.9,1166.67,5101.83,178.12,791.95,791.95,791.95,791.95,791.95,85.57,107.14,31.86,14.01,0.0478,0.8348,31.42
30.0,0.9,1208.33,5100.41,179.32,793.29,793.29,793.29,793.29,793.29,85.56,107.68,31.84,14.01,0.0478,0.8346,31.42
31.0,0.9,1250.0,5098.99,180.47,794.46,794.46,794.46,794.46,794.46,85.54,108.19,31.83,14.01,0.0478,0.8344,31.42
32.0,0.9,1291.67,5097.58,181.57,795.48,795.48,795.48,795.48,795.48,85.52,108.68,31.82,14.0,0.0478,0.8341,31.41
33.0,0.9,1333.33,5096.16,182.63,796.37,796.37,796.37,796.37,796.37,85.51,109.14,31.81,14.0,0.0478,0.8339,31.41
34.0,0.9,1375.0,5094.74,183.64,797.15,797.15,797.15,797.15,797.15,85.49,109.57,31.79,14.0,0.0478,0.8337,31.41
35.0,0.9,1416.67,5093.33,184.62,797.82,797.82,797.82,797.82,797.82,85.48,109.99,31.78,14.0,0.0478,0.8335,31.41
36.0,0.9,1458.33,5091.91,185.55,798.41,798.41,798.41,798.41,798.41,85.46,110.38,31.77,14.0,0.0478,0.8332,31.41
37.0,0.9,1500.0,5090.49,186.44,798.91,798.91,798.91,798.91,798.91,85.44,110.75,31.76,14.0,0.0478,0.833,31.4
38.0,0.9,1541.67,5089.08,187.3,799.34,799.34,799.34,799.34,799.34,85.43,111.11,31.74,14.0,0.0478,0.8328,31.4
39.0,0.9,1583.33,5087.66,188.12,799.72,799.72,799.72,799.72,799.72,85.41,111.44,31.73,14.0,0.0478,0.8325,31.4
40.0,0.9,1625.0,5086.24,188.91,800.04,800.04,800.04,800.04,800.04,85.39,111.76,31.72,14.0,0.0477,0.8323,31.4
41.0,0.9,1666.67,5084.83,189.66,800.31,800.31,800.31,800.31,800.31,85.38,112.06,31.71,14.0,0.0477,0.8321,31.4
42.0,0.9,1708.33,5083.41,190.39,800.53,800.53,800.53,800.53,800.53,85.36,112.34,31.69,14.0,0.0477,0.8318,31.39
43.0,0.9,1750.0,5081.99,191.08,800.72,800.72,800.72,800.72,800.72,85.34,112.61,31.68,14.0,0.0477,0.8316,31.39
44.0,0.9,1791.67,5080.58,191.75,800.88,800.88,800.88,800.88,800.88,85.33,112.86,31.67,14.0,0.0477,0.8314,31.39
45.0,0.9,1833.33,5079.16,192.38,801.01,801.01,801.01,801.01,801.01,85.31,113.1,31.66,14.0,0.0477,0.8311,31.39
46.0,0.9,1875.0,5077.74,192.99,801.11,801.11,801.11,801.11,801.11,85.29,113.33,31.64,14.0,0.0477,0.8309,31.39
47.0,0.9,1916.67,5076.33,193.58,801.19,801.19,801.19,801.19,801.19,85.28,113.54,31.63,14.0,0.0477,0.8307,31.38
48.0,0.9,1958.33,5074.91,194.14,801.25,801.25,801.25,801.25,801.25,85.26,113.75,31.62,14.0,0.0477,0.8304,31.38
49.0,0.9,2000.0,5073.49,194.67,801.29,801.29,801.29,801.29,801.29,85.24,113.94,31.61,14.0,0.0477,0.8302,31.38
50.0,0.9,2041.67,5072.08,195.19,801.31,801.31,801.31,801.31,801.31,85.23,114.12,31.59,14.0,0.0477,0.83,31.38
51.0,0.9,2083.33,5070.66,195.68,801.33,801.33,801.33,801.33,801.33,85.21,114.29,31.58,14.0,0.0477,0.8297,31.38
52.0,0.9,2125.0,5069.24,196.15,801.33,801.33,801.33,801.33,801.33,85.19,114.45,31.57,13.99,0.0477,0.8295,31.37
53.0,0.9,2166.67,5067.83,196.6,801.32,801.32,801.32,801.32,801.32,85.18,114.6,31.56,13.99,0.0476,0.8293,31.37
54.0,0.9,2208.33,5066.41,197.03,801.3,801.3,801.3,801.3,801.3,85.16,114.75,31.54,13.99,0.0476,0.829,31.37
55.0,0.9,2250.0,5064.99,197.44,801.27,801.27,801.27,801.27,801.27,85.14,114.88,31.53,13.99,0.0476,0.8288,31.37
56.0,0.9,2291.67,5063.58,197.83,801.23,801.23,801.23,801.23,801.23,85.13,115.01,31.52,13.99,0.0476,0.8286,31.37
57.0,0.9,2333.33,5062.16,198.21,801.19,801.19,801.19,801.19,801.19,85.11,115.13,31.51,13.99,0.0476,0.8284,31.36
58.0,0.9,2375.0,5060.74,198.57,801.14,801.14,801.14,801.14,801.14,85.09,115.24,31.49,13.99,0.0476,0.8281,31.36
59.0,0.9,2416.67,5059.33,198.91,801.09,801.09,801.09,801.09,801.09,85.08,115.35,31.48,13.99,0.0476,0.8279,31.36
60.0,0.9,2458.33,5057.91,199.24,801.03,801.03,801.03,801.03,801.03,85.06,115.45,31.47,13.99,0.0476,0.8277,31.36
61.0,0.9,2500.0,5056.49,199.56,800.97,800.97,800.97,800.97,800.97,85.04,115.54,31.46,13.99,0.0476,0.8274,31.35
62.0,0.9,2541.67,5055.08,199.86,800.9,800.9,800.9,800.9,800.9,85.03,115.63,31.44,13.99,0.0476,0.8272,31.35
63.0,0.9,2583.33,5053.66,200.14,800.83,800.83,800.83,800.83,800.83,85.01,115.71,31.43,13.99,0.0476,0.827,31.35
64.0,0.9,2625.0,5052.24,200.41,800.76,800.76,800.76,800.76,800.76,84.99,115.78,31.42,13.99,0.0476,0.8267,31.35
65.0,0.9,2666.67,5050.83,200.68,800.69,800.69,800.69,800.69,800.69,84.98,115.85,31.41,13.99,0.0475,0.8265,31.35
66.0,0.9,2708.33,5049.41,200.92,800.61,800.61,800.61,800.61,800.61,84.96,115.92,31.39,13.99,0.0475,0.8263,31.34
67.0,0.9,2750.0,5047.99,201.16,800.53,800.53,800.53,800.53,800.53,84.94,115.98,31.38,13.99,0.0475,0.826,31.34
68.0,0.9,2791.67,5046.58,201.39,800.45,800.45,800.45,800.45,800.45,84.93,116.04,31.37,13.99,0.0475,0.8258,31.34
69.0,0.9,2833.33,5045.16,201.6,800.37,800.37,800.37,800.37,800.37,84.91,116.09,31.36,13.99,0.0475,0.8256,31.34
70.0,0.9,2875.0,5043.74,201.81,800.29,800.29,800.29,800.29,800.29,84.89,116.14,31.34,13.99,0.0475,0.8253,31.34
71.0,0.9,2916.67,5042.33,202.0,800.21,800.21,800.21,800.21,800.21,84.88,116.19,31.33,13.99,0.0475,0.8251,31.33
72.0,0.9,2958.33,5040.91,202.19,800.12,800.12,800.12,800.12,800.12,84.86,116.23,31.32,13.98,0.0475,0.8249,31.33
73.0,0.9,3000.0,5039.49,202.37,800.04,800.04,800.04,800.04,800.04,84.84,116.27,31.31,13.98,0.0475,0.8246,31.33
74.0,0.9,3041.67,5038.08,202.53,799.95,799.95,799.95,799.95,799.95,84.83,116.3,31.29,13.98,0.0475,0.8244,31.33
75.0,0.9,3083.33,5036.66,202.69,799.87,799.87,799.87,799.87,799.87,84.81,116.34,31.28,13.98,0.0475,0.8242,31.33
76.0,0.9,3125.0,5035.24,202.85,799.78,799.78,799.78,799.78,799.78,84.79,116.37,31.27,13.98,0.0475,0.8239,31.32
77.0,0.9,3166.67,5033.83,202.99,799.69,799.69,799.69,799.69,799.69,84.78,116.39,31.26,13.98,0.0475,0.8237,31.32
78.0,0.9,3208.33,5032.41,203.13,799.6,799.6,799.6,799.6,799.6,84.76,116.42,31.24,13.98,0.0474,0.8235,31.32
79.0,0.9,3250.0,5030.99,203.26,799.51,799.51,799.51,799.51,799.51,84.74,116.44,31.23,13.98,0.0474,0.8233,31.32
80.0,0.9,3291.67,5029.58,203.38,799.43,799.43,799.43,799.43,799.43,84.73,116.46,31.22,13.98,0.0474,0.823,31.32
81.0,0.9,3333.33,5028.16,203.49,799.34,799.34,799.34,799.34,799.34,84.71,116.47,31.21,13.98,0.0474,0.8228,31.31
82.0,0.9,3375.0,5026.74,203.6,799.25,799.25,799.25,799.25,799.25,84.69,116.49,31.19,13.98,0.0474,0.8226,31.31
