time_sec,throttle,altitude,rpm,cht,egt,egt_1,egt_2,egt_3,egt_4,oil_pressure,oil_temp,fuel_flow,battery_voltage,vibration_index,engine_load
1.0,0.9,0,2911.77,113.92,403.58,403.58,403.58,403.58,403.58,49.46,72.39,22.56,13.77,0.0359,0.4765
2.0,0.9,0,3995.99,117.69,450.87,450.87,450.87,450.87,450.87,59.82,74.66,28.65,13.99,0.0418,0.6539
3.0,0.9,0,4552.64,121.31,492.6,492.6,492.6,492.6,492.6,67.24,76.83,30.9,14.02,0.0448,0.745
4.0,0.9,0,4838.44,124.79,529.42,529.42,529.42,529.42,529.42,72.56,78.88,31.72,14.02,0.0464,0.7917
5.0,0.9,0,4985.17,128.13,561.92,561.92,561.92,561.92,561.92,76.37,80.84,32.02,14.02,0.0472,0.8158
6.0,0.9,0,5060.51,131.34,590.6,590.6,590.6,590.6,590.6,79.1,82.7,32.14,14.02,0.0476,0.8281
7.0,0.9,0,5099.19,134.42,615.91,615.91,615.91,615.91,615.91,81.05,84.47,32.18,14.02,0.0478,0.8344
8.0,0.9,0,5119.05,137.39,638.25,638.25,638.25,638.25,638.25,82.46,86.15,32.19,14.02,0.0479,0.8377
9.0,0.9,0,5129.24,140.23,657.96,657.96,657.96,657.96,657.96,83.46,87.76,32.2,14.02,0.048,0.8393
10.0,0.9,0,5134.48,142.97,675.35,675.35,675.35,675.35,675.35,84.18,89.28,32.2,14.02,0.048,0.8402
11.0,0.9,0,5137.16,145.6,690.71,690.71,690.71,690.71,690.71,84.7,90.73,32.2,14.02,0.048,0.8406
12.0,0.9,0,5138.54,148.12,704.25,704.25,704.25,704.25,704.25,85.07,92.11,32.2,14.02,0.048,0.8409
13.0,0.9,0,5139.25,150.55,716.21,716.21,716.21,716.21,716.21,85.33,93.42,32.2,14.02,0.048,0.841
14.0,0.9,0,5139.62,152.88,726.76,726.76,726.76,726.76,726.76,85.52,94.67,32.2,14.02,0.048,0.841
15.0,0.9,0,5139.8,155.12,736.07,736.07,736.07,736.07,736.07,85.66,95.85,32.2,14.02,0.048,0.8411
16.0,0.9,0,5139.9,157.27,744.29,744.29,744.29,744.29,744.29,85.75,96.98,32.2,14.02,0.048,0.8411
17.0,0.9,0,5139.95,159.34,751.54,751.54,751.54,751.54,751.54,85.82,98.06,32.2,14.02,0.048,0.8411
18.0,0.9,0,5139.97,161.32,757.94,757.94,757.94,757.94,757.94,85.87,99.08,32.2,14.02,0.048,0.8411
19.0,0.9,0,5139.99,163.23,763.59,763.59,763.59,763.59,763.59,85.91,100.05,32.2,14.02,0.048,0.8411
20.0,0.9,0,5139.99,165.07,768.57,768.57,768.57,768.57,768.57,85.94,100.97,32.2,14.02,0.048,0.8411
21.0,0.9,0,5140.0,166.83,772.97,772.97,772.97,772.97,772.97,85.95,101.85,32.2,14.02,0.048,0.8411
22.0,0.9,0,5140.0,168.52,776.85,776.85,776.85,776.85,776.85,85.97,102.69,32.2,14.02,0.048,0.8411
23.0,0.9,0,5140.0,170.15,780.27,780.27,780.27,780.27,780.27,85.98,103.48,32.2,14.02,0.048,0.8411
24.0,0.9,0,5140.0,171.71,783.3,783.3,783.3,783.3,783.3,85.98,104.24,32.2,14.02,0.048,0.8411
25.0,0.9,0,5140.0,173.21,785.96,785.96,785.96,785.96,785.96,85.99,104.96,32.2,14.02,0.048,0.8411
26.0,0.9,0,5140.0,174.65,788.32,788.32,788.32,788.32,788.32,85.99,105.65,32.2,14.02,0.048,0.8411
27.0,0.9,0,5140.0,176.04,790.4,790.4,790.4,790.4,790.4,85.99,106.3,32.2,14.02,0.048,0.8411
28.0,0.9,0,5140.0,177.37,792.23,792.23,792.23,792.23,792.23,86.0,106.92,32.2,14.02,0.048,0.8411
29.0,0.9,0,5140.0,178.65,793.85,793.85,793.85,793.85,793.85,86.0,107.51,32.2,14.02,0.048,0.8411
30.0,0.9,0,5140.0,179.88,795.28,795.28,795.28,795.28,795.28,86.0,108.07,32.2,14.02,0.048,0.8411
31.0,0.9,0,5140.0,181.06,796.54,796.54,796.54,796.54,796.54,86.0,108.6,32.2,14.02,0.048,0.8411
32.0,0.9,0,5140.0,182.2,797.65,797.65,797.65,797.65,797.65,86.0,109.11,32.2,14.02,0.048,0.8411
33.0,0.9,0,5140.0,183.29,798.63,798.63,798.63,798.63,798.63,86.0,109.59,32.2,14.02,0.048,0.8411
34.0,0.9,0,5140.0,184.33,799.5,799.5,799.5,799.5,799.5,86.0,110.05,32.2,14.02,0.048,0.8411
35.0,0.9,0,5140.0,185.34,800.26,800.26,800.26,800.26,800.26,86.0,110.49,32.2,14.02,0.048,0.8411
36.0,0.9,0,5140.0,186.31,800.93,800.93,800.93,800.93,800.93,86.0,110.9,32.2,14.02,0.048,0.8411
37.0,0.9,0,5140.0,187.24,801.53,801.53,801.53,801.53,801.53,86.0,111.3,32.2,14.02,0.048,0.8411
38.0,0.9,0,5140.0,188.13,802.05,802.05,802.05,802.05,802.05,86.0,111.67,32.2,14.02,0.048,0.8411
39.0,0.9,0,5140.0,188.99,802.52,802.52,802.52,802.52,802.52,86.0,112.03,32.2,14.02,0.048,0.8411
40.0,0.9,0,5140.0,189.81,802.93,802.93,802.93,802.93,802.93,86.0,112.37,32.2,14.02,0.048,0.8411
41.0,0.9,0,5140.0,190.6,803.29,803.29,803.29,803.29,803.29,86.0,112.69,32.2,14.02,0.048,0.8411
42.0,0.9,0,5140.0,191.36,803.61,803.61,803.61,803.61,803.61,86.0,113.0,32.2,14.02,0.048,0.8411
43.0,0.9,0,5140.0,192.09,803.89,803.89,803.89,803.89,803.89,86.0,113.29,32.2,14.02,0.048,0.8411
44.0,0.9,0,5140.0,192.8,804.14,804.14,804.14,804.14,804.14,86.0,113.57,32.2,14.02,0.048,0.8411
45.0,0.9,0,5140.0,193.47,804.36,804.36,804.36,804.36,804.36,86.0,113.84,32.2,14.02,0.048,0.8411
